caller	provider	method	path_template	interface	method_name	body_type	return_type	resolved_by	claim
front50	fiat	DELETE	roles/{userId}	FiatService	logoutUser	-	Call<Void>	services.fiat.baseUrl (fiat-api FiatAuthenticationConfig via @EnableFiatAutoConfig)	fiat@v1.57.0 fiat-api/src/main/java/com/netflix/spinnaker/fiat/shared/FiatService.java:117
echo	front50	GET	pipelines?restricted=false	Front50Service	getPipelines	-	Call<List<Map<String,Object>>>	front50.base-url (Front50Config.front50Service)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/Front50Service.java:15
echo	front50	GET	pipelines?restricted=false	Front50Service	getPipelines	-	Call<List<Map<String,Object>>>	front50.base-url (Front50Config.front50Service)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/Front50Service.java:20
echo	front50	GET	pipelines/{application}?refresh=false	Front50Service	getPipelines	-	Call<List<Pipeline>>	front50.base-url (Front50Config.front50Service)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/Front50Service.java:28
echo	front50	GET	pipelines/{pipelineId}/get	Front50Service	getPipeline	-	Call<Map<String,Object>>	front50.base-url (Front50Config.front50Service)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/Front50Service.java:32
echo	front50	GET	pipelines/{application}/name/{name}?refresh=true	Front50Service	getPipelineByName	-	Call<Map<String,Object>>	front50.base-url (Front50Config.front50Service)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/Front50Service.java:35
echo	front50	POST	graphql	Front50Service	query	GraphQLQuery	Call<GraphQLQueryResponse>	front50.base-url (Front50Config.front50Service)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/Front50Service.java:39
echo	igor	GET	builds/status/{buildNumber}/{master}/{job}	IgorService	getBuild	-	Call<Map<String,Object>>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:33
echo	igor	GET	builds/status/{buildNumber}/{master}	IgorService	getBuildStatusWithJobQueryParameter	-	Call<Map<String,Object>>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:39
echo	igor	GET	builds/properties/{buildNumber}/{fileName}/{master}/{job}	IgorService	getPropertyFile	-	Call<Map<String,Object>>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:45
echo	igor	GET	builds/properties/{buildNumber}/{fileName}/{master}	IgorService	getPropertyFileWithJobQueryParameter	-	Call<Map<String,Object>>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:52
echo	igor	GET	builds/artifacts/{buildNumber}/{master}/{job}	IgorService	getArtifacts	-	Call<List<Artifact>>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:59
echo	igor	GET	builds/artifacts/{buildNumber}/{master}	IgorService	getArtifactsWithJobQueryParameter	-	Call<List<Artifact>>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:66
echo	igor	GET	artifacts/{provider}/{packageName}	IgorService	getVersions	-	Call<List<String>>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:73
echo	igor	GET	artifacts/{provider}/{packageName}/{version}	IgorService	getArtifactByVersion	-	Call<Artifact>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:77
echo	igor	PUT	gcb/builds/{account}/{buildId}	IgorService	updateBuildStatus	RequestBody	Call<ResponseBody>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:83
echo	igor	PUT	gcb/artifacts/extract/{account}	IgorService	extractGoogleCloudBuildArtifacts	RequestBody	Call<List<Artifact>>	igor.base-url (IgorConfig.igorService)	echo@v2.47.2 echo-core/src/main/java/com/netflix/spinnaker/echo/services/IgorService.java:90
echo	orca	POST	orchestrate	OrcaService	trigger	Pipeline	Call<TriggerResponse>	orca.base-url (PipelineTriggerConfiguration.orca)	echo@v2.47.2 echo-pipelinetriggers/src/main/java/com/netflix/spinnaker/echo/pipelinetriggers/orca/OrcaService.java:36
echo	orca	POST	fail	OrcaService	recordFailure	Pipeline	Call<ResponseBody>	orca.base-url (PipelineTriggerConfiguration.orca)	echo@v2.47.2 echo-pipelinetriggers/src/main/java/com/netflix/spinnaker/echo/pipelinetriggers/orca/OrcaService.java:39
echo	orca	POST	plan	OrcaService	plan	Map	Call<Map>	orca.base-url (PipelineTriggerConfiguration.orca)	echo@v2.47.2 echo-pipelinetriggers/src/main/java/com/netflix/spinnaker/echo/pipelinetriggers/orca/OrcaService.java:42
echo	orca	POST	v2/pipelineTemplates/plan	OrcaService	v2Plan	Map	Call<Map<String,Object>>	orca.base-url (PipelineTriggerConfiguration.orca)	echo@v2.47.2 echo-pipelinetriggers/src/main/java/com/netflix/spinnaker/echo/pipelinetriggers/orca/OrcaService.java:45
echo	orca	GET	pipelines	OrcaService	getLatestPipelineExecutions	-	Call<Collection<PipelineResponse>>	orca.base-url (PipelineTriggerConfiguration.orca)	echo@v2.47.2 echo-pipelinetriggers/src/main/java/com/netflix/spinnaker/echo/pipelinetriggers/orca/OrcaService.java:48
echo	keel	POST	artifacts/events	KeelService	sendArtifactEvent	Map	Call<Void>	keel.base-url (KeelConfig.keelService)	echo@v2.47.2 echo-artifacts/src/main/java/com/netflix/spinnaker/echo/services/KeelService.java:9
