caller	provider	method	caller_path	norm_path	provider_path	provider_claim	candidates	caller_body	caller_return	provider_body	provider_return	s2_typing	untyped_as_written	untyped_refined	both_sides_untyped_as_written	edge_claim
gate	clouddriver	GET	/storage	/storage	/storage	CLAIM-S2-R0331	1	-	Call<List<String>>	-	List<String>	typed	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:328
gate	clouddriver	GET	/artifacts/credentials	/artifacts/credentials	/artifacts/credentials	CLAIM-S2-R0428	1	-	Call<List<Map>>	-	List<ArtifactCredentials>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:331
gate	clouddriver	PUT	/artifacts/fetch	/artifacts/fetch	/artifacts/fetch	CLAIM-S2-R0429	1	Map	Call<ResponseBody>	Artifact	StreamingResponseBody	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:335
gate	clouddriver	GET	/artifacts/account/{accountName}/names	/artifacts/account/{}/names	/artifacts/account/{accountName}/names	CLAIM-S2-R0431	1	-	Call<List<String>>	-	List<String>	typed	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:338
gate	clouddriver	GET	/artifacts/account/{accountName}/versions	/artifacts/account/{}/versions	/artifacts/account/{accountName}/versions	CLAIM-S2-R0432	1	-	Call<List<String>>	-	List<String>	typed	0	0	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:342
gate	clouddriver	GET	/roles/{cloudProvider}	/roles/{}	/roles/{cloudProvider}	CLAIM-S2-R0337	1	-	Call<List<Map>>	-	Collection<Role>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:348
gate	clouddriver	GET	/ecs/ecsClusters	/ecs/ecsClusters	/ecs/ecsClusters	CLAIM-S2-R0347	1	-	Call<List<Map>>	-	Collection<EcsCluster>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:351
gate	clouddriver	GET	/ecs/cloudMetrics/alarms	/ecs/cloudMetrics/alarms	/ecs/cloudMetrics/alarms	CLAIM-S2-R0346	1	-	Call<List<Map>>	-	Collection<EcsMetricAlarm>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:354
gate	clouddriver	GET	/ecs/secrets	/ecs/secrets	/ecs/secrets	CLAIM-S2-R0350	1	-	Call<List<Map>>	-	Collection<Secret>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:357
gate	clouddriver	GET	/ecs/ecsClusterDescriptions/{account}/{region}	/ecs/ecsClusterDescriptions/{}/{}	/ecs/ecsClusterDescriptions/{account}/{region}	CLAIM-S2-R0348	1	-	Call<List<Map>>	-	Collection<Cluster>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:360
gate	clouddriver	GET	/ecs/serviceDiscoveryRegistries	/ecs/serviceDiscoveryRegistries	/ecs/serviceDiscoveryRegistries	CLAIM-S2-R0351	1	-	Call<List<Map>>	-	Collection<ServiceDiscoveryRegistry>	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:364
gate	clouddriver	GET	/manifests/{account}/{location}/{name}	/manifests/{}/{}/{}	/manifests/{account:.+}/{location:.+}/{name:.+}	CLAIM-S2-R0356	1	-	Call<Map>	-	Manifest	typed	1	1	0	gate@v6.69.0 gate-core/src/main/java/com/netflix/spinnaker/gate/services/internal/ClouddriverService.java:367
